,XMR
STEEM,0.004081495171260651
XEM,0.01343334435195445
RLC,0.01569719405762485
XRP,0.0222836679801129
DOGE,0.0276109601883068
BTS,0.059911289973676896
ETC,0.06019837771428875
GAS,0.0651767045181858
LSK,0.0945544784773731
DASH,0.10123571787996449
QTUM,0.10223946167449695
SYS,0.11668543500738321
GNO,0.118842989460178
DGB,0.12861233568191677
PIVX,0.14331227172144428
ZEN,0.16553785619877115
MIOTA,0.240232094721525
LUNC,0.28621406485614587
ARK,0.30910888568191663
ANT,0.31386712081704393
SC,0.3152481398562451
DCR,0.3673963897960943
LTC,0.4104037419198444
FIRO,0.41237710920755755
KMD,0.4292626676981959
BTC,0.4474688890261075
ZEC,0.47312872096516023
BAT,0.48966261140642636
WAVES,0.5167874014568992
XLM,0.6474577207690781
ETH,0.7583778062452702
